transaction_id,customer_id,campaign_id,transaction_amount,clicks,impressions,conversions,transaction_date
134,518,996,73.47,5,11,0,2023-01-06 13:00:00
135,6826,545,61.65,2,11,0,2023-01-06 14:00:00
136,8055,898,147.96,1,30,0,2023-01-06 15:00:00
137,5300,848,48.4,5,45,0,2023-01-06 16:00:00
138,15791,808,12.93,6,45,0,2023-01-06 17:00:00
139,7380,665,51.64,3,20,0,2023-01-06 18:00:00
140,14236,852,61.0,2,35,0,2023-01-06 19:00:00
141,1001,731,30.84,4,17,0,2023-01-06 20:00:00
142,8832,814,42.01,1,32,0,2023-01-06 21:00:00
143,14120,911,83.59,0,1,0,2023-01-06 22:00:00
144,730,1000,73.44,1,3,0,2023-01-06 23:00:00
145,2811,842,19.78,7,16,0,2023-01-07 00:00:00
146,2938,486,23.59,2,5,0,2023-01-07 01:00:00
147,4197,511,52.27,2,6,0,2023-01-07 02:00:00
148,6464,219,34.74,2,38,0,2023-01-07 03:00:00
149,17506,145,79.41,1,13,0,2023-01-07 04:00:00
150,13136,598,15.34,2,49,0,2023-01-07 05:00:00
151,18711,999,29.7,3,11,0,2023-01-07 06:00:00
152,15034,14,32.92,3,22,0,2023-01-07 07:00:00
153,19801,625,38.16,3,27,0,2023-01-07 08:00:00
154,14692,747,82.69,3,48,0,2023-01-07 09:00:00
155,11135,412,10.93,3,28,1,2023-01-07 10:00:00
156,9807,761,17.81,5,8,0,2023-01-07 11:00:00
157,7523,72,50.06,4,43,0,2023-01-07 12:00:00
158,17447,904,43.35,2,34,0,2023-01-07 13:00:00
159,7471,797,161.28,3,17,0,2023-01-07 14:00:00
160,13598,297,12.87,1,37,0,2023-01-07 15:00:00
161,4551,193,27.59,3,38,0,2023-01-07 16:00:00
162,5444,877,85.22,1,33,0,2023-01-07 17:00:00
163,8711,54,172.68,2,39,0,2023-01-07 18:00:00
164,19809,201,267.85,3,13,0,2023-01-07 19:00:00
165,5935,776,27.24,6,21,1,2023-01-07 20:00:00
166,5423,388,55.27,3,4,0,2023-01-07 21:00:00
167,210,725,168.22,4,35,0,2023-01-07 22:00:00
168,3941,889,199.17,6,42,0,2023-01-07 23:00:00
169,14780,325,16.27,4,38,1,2023-01-08 00:00:00
170,176,873,31.88,0,34,0,2023-01-08 01:00:00
171,7255,704,76.14,2,49,0,2023-01-08 02:00:00
172,4857,241,50.94,3,32,0,2023-01-08 03:00:00
173,19914,570,52.91,5,29,0,2023-01-08 04:00:00
174,8409,41,38.16,4,8,0,2023-01-08 05:00:00
175,19295,506,102.99,1,4,0,2023-01-08 06:00:00
176,13719,553,13.33,3,15,0,2023-01-08 07:00:00
177,16988,486,23.02,2,12,0,2023-01-08 08:00:00
178,13741,215,70.72,5,28,0,2023-01-08 09:00:00
179,11496,758,95.55,4,19,0,2023-01-08 10:00:00
180,820,628,186.44,3,43,0,2023-01-08 11:00:00
181,14023,983,27.56,4,6,0,2023-01-08 12:00:00
182,17446,187,22.44,6,24,0,2023-01-08 13:00:00
183,10664,386,24.95,2,7,0,2023-01-08 14:00:00
184,11663,195,24.34,4,14,0,2023-01-08 15:00:00
185,15217,779,42.38,2,5,0,2023-01-08 16:00:00
186,3013,28,26.68,5,52,0,2023-01-08 17:00:00
187,19340,252,17.5,3,24,0,2023-01-08 18:00:00
188,185,116,12.76,7,14,0,2023-01-08 19:00:00
189,19833,899,24.77,4,24,0,2023-01-08 20:00:00
190,6419,201,95.05,1,33,0,2023-01-08 21:00:00
191,17694,224,103.07,2,22,0,2023-01-08 22:00:00
192,1372,749,54.71,4,21,0,2023-01-08 23:00:00
193,10959,180,35.19,3,19,0,2023-01-09 00:00:00
194,17397,494,25.49,4,45,0,2023-01-09 01:00:00
195,7,74,12.01,5,42,1,2023-01-09 02:00:00
196,4046,497,242.19,5,11,1,2023-01-09 03:00:00
197,1624,652,34.04,4,49,1,2023-01-09 04:00:00
198,14835,172,33.33,6,53,0,2023-01-09 05:00:00
199,8255,440,35.33,3,36,0,2023-01-09 06:00:00
200,17752,148,84.99,3,19,0,2023-01-09 07:00:00
201,587,189,63.7,3,29,0,2023-01-09 08:00:00
202,16763,937,153.45,4,29,0,2023-01-09 09:00:00
203,14631,652,13.87,2,33,0,2023-01-09 10:00:00
204,9448,521,172.04,3,41,0,2023-01-09 11:00:00
205,18872,281,54.52,5,21,0,2023-01-09 12:00:00
206,10634,971,142.56,0,24,0,2023-01-09 13:00:00
207,16120,265,82.18,2,48,0,2023-01-09 14:00:00
208,3947,237,224.62,4,25,0,2023-01-09 15:00:00
209,737,877,21.98,2,4,0,2023-01-09 16:00:00
210,19732,397,46.77,1,24,0,2023-01-09 17:00:00
211,19623,141,149.54,5,20,0,2023-01-09 18:00:00
212,15219,647,17.4,3,42,0,2023-01-09 19:00:00
213,10652,652,85.71,3,44,1,2023-01-09 20:00:00
214,11492,937,132.64,1,8,0,2023-01-09 21:00:00
215,16698,215,33.5,1,47,0,2023-01-09 22:00:00
216,7620,283,39.27,3,5,0,2023-01-09 23:00:00
217,1433,732,99.21,4,19,0,2023-01-10 00:00:00
218,12711,415,51.78,2,27,0,2023-01-10 01:00:00
219,12518,64,42.55,5,16,0,2023-01-10 02:00:00
220,9787,312,26.01,4,44,0,2023-01-10 03:00:00
221,11776,802,48.41,3,34,0,2023-01-10 04:00:00
222,13004,780,33.57,3,19,0,2023-01-10 05:00:00
223,14237,580,41.85,7,10,0,2023-01-10 06:00:00
224,14946,276,104.89,3,7,0,2023-01-10 07:00:00
225,16722,932,103.4,2,27,0,2023-01-10 08:00:00
226,4342,963,11.06,2,40,0,2023-01-10 09:00:00
227,16942,93,49.47,2,26,0,2023-01-10 10:00:00
228,4300,113,160.52,2,34,0,2023-01-10 11:00:00
229,1217,198,39.53,4,41,1,2023-01-10 12:00:00
230,12103,69,15.85,1,26,0,2023-01-10 13:00:00
231,19815,575,10.57,2,9,0,2023-01-10 14:00:00
232,12962,683,36.23,5,18,1,2023-01-10 15:00:00
233,8928,355,114.75,2,28,0,2023-01-10 16:00:00
234,11518,140,121.62,0,14,0,2023-01-10 17:00:00
235,10524,823,64.19,5,29,0,2023-01-10 18:00:00
236,18650,870,162.83,3,20,0,2023-01-10 19:00:00
237,4669,559,13.75,6,33,0,2023-01-10 20:00:00
238,8374,468,33.14,3,41,0,2023-01-10 21:00:00
239,16592,729,88.66,2,31,0,2023-01-10 22:00:00
240,1194,352,101.59,4,49,0,2023-01-10 23:00:00
241,4235,628,14.8,2,11,0,2023-01-11 00:00:00
242,17574,633,54.23,3,25,0,2023-01-11 01:00:00
243,1659,707,64.85,3,31,0,2023-01-11 02:00:00
244,16810,366,22.54,2,10,0,2023-01-11 03:00:00
245,15807,446,11.7,3,46,0,2023-01-11 04:00:00
246,5030,375,11.05,4,29,0,2023-01-11 05:00:00
247,5065,247,32.24,5,43,0,2023-01-11 06:00:00
248,569,575,16.82,1,46,0,2023-01-11 07:00:00
249,16615,513,52.34,5,26,0,2023-01-11 08:00:00
250,995,897,24.38,4,22,0,2023-01-11 09:00:00
251,9849,578,30.63,1,6,0,2023-01-11 10:00:00
252,4040,244,31.12,1,25,0,2023-01-11 11:00:00
253,14390,909,143.9,3,51,0,2023-01-11 12:00:00
254,5920,82,108.87,8,34,1,2023-01-11 13:00:00
255,19010,106,62.31,4,16,0,2023-01-11 14:00:00
256,13582,106,18.54,3,36,1,2023-01-11 15:00:00
257,14725,493,14.0,4,40,0,2023-01-11 16:00:00
258,17997,597,31.98,2,49,0,2023-01-11 17:00:00
259,8531,962,52.33,3,10,0,2023-01-11 18:00:00
260,7203,984,74.55,1,32,0,2023-01-11 19:00:00
261,14286,326,11.22,3,43,0,2023-01-11 20:00:00
262,16196,64,20.83,4,39,0,2023-01-11 21:00:00
263,6042,707,38.85,2,14,0,2023-01-11 22:00:00
264,586,818,32.28,2,29,0,2023-01-11 23:00:00
265,422,590,40.65,3,5,0,2023-01-12 00:00:00
266,9506,31,29.83,3,29,1,2023-01-12 01:00:00
267,17698,478,54.32,4,13,1,2023-01-12 02:00:00
268,13940,649,110.49,4,32,0,2023-01-12 03:00:00
269,7460,577,14.27,2,20,0,2023-01-12 04:00:00
270,7940,102,27.34,5,41,0,2023-01-12 05:00:00
271,1178,695,25.48,4,44,1,2023-01-12 06:00:00
272,9931,285,49.28,3,48,0,2023-01-12 07:00:00
273,1667,217,121.38,5,41,0,2023-01-12 08:00:00
274,4529,39,95.72,9,36,0,2023-01-12 09:00:00
275,6958,980,126.42,3,35,0,2023-01-12 10:00:00
276,15630,908,21.95,6,23,0,2023-01-12 11:00:00
277,8707,34,31.05,5,19,1,2023-01-12 12:00:00
278,3330,150,26.11,3,21,0,2023-01-12 13:00:00
279,5462,748,49.47,3,34,1,2023-01-12 14:00:00
280,4598,956,65.61,2,39,0,2023-01-12 15:00:00
281,9181,718,36.84,2,36,0,2023-01-12 16:00:00
282,10389,58,28.39,4,18,0,2023-01-12 17:00:00
283,18399,988,59.97,1,38,0,2023-01-12 18:00:00
284,6819,63,44.49,1,11,0,2023-01-12 19:00:00
285,8643,187,98.22,2,34,0,2023-01-12 20:00:00
286,13907,71,12.77,2,3,0,2023-01-12 21:00:00
287,6676,126,76.6,9,27,0,2023-01-12 22:00:00
288,13678,6,69.01,2,22,0,2023-01-12 23:00:00
289,17928,548,110.76,4,39,0,2023-01-13 00:00:00
290,1690,800,103.2,2,30,0,2023-01-13 01:00:00
291,5683,237,18.14,3,7,0,2023-01-13 02:00:00
292,18678,827,61.27,4,18,0,2023-01-13 03:00:00
293,9665,503,56.33,1,20,0,2023-01-13 04:00:00
294,10394,730,69.28,5,42,1,2023-01-13 05:00:00
295,8438,438,208.9,4,20,1,2023-01-13 06:00:00
296,9007,70,15.79,1,45,0,2023-01-13 07:00:00
297,19499,34,59.61,3,9,0,2023-01-13 08:00:00
298,4259,683,55.43,2,35,0,2023-01-13 09:00:00
299,9363,944,10.37,6,44,0,2023-01-13 10:00:00
300,14256,562,63.74,6,30,1,2023-01-13 11:00:00
301,11420,157,44.37,5,33,0,2023-01-13 12:00:00
302,18578,262,84.14,3,40,0,2023-01-13 13:00:00
303,11776,65,80.37,7,47,1,2023-01-13 14:00:00
304,10536,392,12.23,2,4,0,2023-01-13 15:00:00
305,6951,889,85.8,4,50,0,2023-01-13 16:00:00
306,2617,328,123.75,4,26,1,2023-01-13 17:00:00
307,14616,666,59.98,1,30,0,2023-01-13 18:00:00
308,11827,150,111.71,5,22,1,2023-01-13 19:00:00
309,14548,109,21.67,2,37,0,2023-01-13 20:00:00
310,4824,528,125.65,2,10,0,2023-01-13 21:00:00
311,588,970,147.35,4,21,0,2023-01-13 22:00:00
312,16367,657,26.76,3,43,0,2023-01-13 23:00:00
313,16076,493,31.18,4,49,0,2023-01-14 00:00:00
314,17574,328,72.05,2,39,0,2023-01-14 01:00:00
315,12768,114,30.48,1,30,0,2023-01-14 02:00:00
316,8253,852,237.83,2,27,0,2023-01-14 03:00:00
317,6916,497,27.0,5,22,1,2023-01-14 04:00:00
318,12497,961,11.46,4,14,0,2023-01-14 05:00:00
319,16341,949,95.09,4,14,0,2023-01-14 06:00:00
320,37,108,12.21,4,44,0,2023-01-14 07:00:00
321,14941,60,192.99,3,16,1,2023-01-14 08:00:00
322,9350,287,55.81,3,27,0,2023-01-14 09:00:00
323,7919,382,38.93,5,19,0,2023-01-14 10:00:00
324,19344,918,75.95,1,18,0,2023-01-14 11:00:00
325,8699,875,72.91,4,16,0,2023-01-14 12:00:00
326,13118,25,34.59,5,26,0,2023-01-14 13:00:00
327,973,243,22.04,4,29,1,2023-01-14 14:00:00
328,13679,588,103.19,1,28,0,2023-01-14 15:00:00
329,12408,669,137.54,4,31,0,2023-01-14 16:00:00
330,12922,322,273.54,3,9,0,2023-01-14 17:00:00
331,212,526,32.57,2,25,0,2023-01-14 18:00:00
332,18716,306,53.01,3,26,0,2023-01-14 19:00:00
333,15614,88,208.31,2,51,0,2023-01-14 20:00:00
334,19986,25,36.59,7,27,0,2023-01-14 21:00:00
335,17831,111,88.15,1,32,0,2023-01-14 22:00:00
336,19401,536,150.47,4,51,0,2023-01-14 23:00:00
337,17917,908,20.26,4,27,0,2023-01-15 00:00:00
338,19338,771,74.47,4,8,1,2023-01-15 01:00:00
339,1834,591,70.69,3,7,1,2023-01-15 02:00:00
340,14797,813,34.63,0,28,0,2023-01-15 03:00:00
341,2408,842,208.16,1,32,0,2023-01-15 04:00:00
342,3306,906,110.81,4,15,1,2023-01-15 05:00:00
343,5163,296,268.13,0,33,0,2023-01-15 06:00:00
344,12934,554,49.93,3,32,1,2023-01-15 07:00:00
345,1357,254,22.56,1,3,0,2023-01-15 08:00:00
346,7660,795,26.38,6,35,0,2023-01-15 09:00:00
347,18638,446,88.4,1,27,0,2023-01-15 10:00:00
348,12190,518,32.44,1,34,0,2023-01-15 11:00:00
349,17507,166,22.1,1,43,0,2023-01-15 12:00:00
350,13349,414,137.48,4,27,0,2023-01-15 13:00:00
351,17894,393,30.85,6,47,1,2023-01-15 14:00:00
352,14226,232,14.26,4,11,1,2023-01-15 15:00:00
353,994,289,51.8,3,7,0,2023-01-15 16:00:00
354,13668,919,49.95,3,11,0,2023-01-15 17:00:00
355,55,246,37.44,2,11,0,2023-01-15 18:00:00
356,15091,789,39.57,3,21,0,2023-01-15 19:00:00
357,10554,627,22.41,4,26,0,2023-01-15 20:00:00
358,19560,577,27.54,0,4,0,2023-01-15 21:00:00
359,18141,744,43.33,5,26,0,2023-01-15 22:00:00
360,6160,367,189.0,1,14,0,2023-01-15 23:00:00
361,5529,588,205.92,1,7,0,2023-01-16 00:00:00
362,6100,163,14.56,3,52,1,2023-01-16 01:00:00
363,11643,942,128.42,3,7,0,2023-01-16 02:00:00
364,16948,663,39.0,0,2,0,2023-01-16 03:00:00
365,14847,886,40.73,2,21,0,2023-01-16 04:00:00
366,18779,610,32.26,3,51,1,2023-01-16 05:00:00
367,2893,98,115.76,1,11,0,2023-01-16 06:00:00
368,15978,987,40.55,0,30,0,2023-01-16 07:00:00
369,17911,96,10.28,2,10,0,2023-01-16 08:00:00
370,4121,947,146.95,3,39,1,2023-01-16 09:00:00
371,10569,659,192.67,3,36,0,2023-01-16 10:00:00
372,3020,210,38.32,2,39,0,2023-01-16 11:00:00
373,4698,767,38.65,1,14,0,2023-01-16 12:00:00
374,5807,765,10.88,2,17,0,2023-01-16 13:00:00
375,12630,510,21.27,4,29,1,2023-01-16 14:00:00
376,2945,712,16.4,1,12,0,2023-01-16 15:00:00
377,13760,625,89.37,4,45,0,2023-01-16 16:00:00
378,1154,227,46.23,3,40,1,2023-01-16 17:00:00
379,11782,432,27.08,2,46,0,2023-01-16 18:00:00
380,9939,881,139.24,3,41,0,2023-01-16 19:00:00
381,17557,868,61.94,0,17,0,2023-01-16 20:00:00
382,7720,113,147.96,2,22,0,2023-01-16 21:00:00
383,3268,689,24.67,4,46,1,2023-01-16 22:00:00
384,71,924,110.67,2,39,0,2023-01-16 23:00:00
385,1223,740,106.49,5,18,0,2023-01-17 00:00:00
386,4641,870,123.71,2,35,0,2023-01-17 01:00:00
387,4915,54,95.03,6,23,0,2023-01-17 02:00:00
388,16986,748,92.03,4,14,0,2023-01-17 03:00:00
389,17873,743,104.52,1,4,0,2023-01-17 04:00:00
390,14280,552,123.15,5,12,0,2023-01-17 05:00:00
391,4981,690,37.56,6,7,0,2023-01-17 06:00:00
392,11087,249,22.36,3,9,0,2023-01-17 07:00:00
393,18196,773,13.74,3,7,0,2023-01-17 08:00:00
394,15123,38,26.09,3,51,1,2023-01-17 09:00:00
395,5831,689,109.36,3,16,0,2023-01-17 10:00:00
396,5688,461,302.14,2,28,0,2023-01-17 11:00:00
397,9965,335,37.5,2,27,0,2023-01-17 12:00:00
398,16385,452,41.55,2,14,0,2023-01-17 13:00:00
399,13479,311,34.94,3,44,0,2023-01-17 14:00:00
400,5906,230,50.03,3,4,1,2023-01-17 15:00:00
401,13256,415,42.51,2,51,0,2023-01-17 16:00:00
402,5362,670,67.6,3,18,0,2023-01-17 17:00:00
403,2182,834,26.06,1,48,0,2023-01-17 18:00:00
404,11516,583,35.79,5,17,0,2023-01-17 19:00:00
405,4965,382,35.76,6,29,0,2023-01-17 20:00:00
406,15382,825,29.19,3,47,0,2023-01-17 21:00:00
407,14091,585,90.03,4,7,1,2023-01-17 22:00:00
408,10970,285,48.86,6,19,1,2023-01-17 23:00:00
409,5192,542,51.05,2,5,0,2023-01-18 00:00:00
410,4617,211,23.8,5,15,0,2023-01-18 01:00:00
411,1923,278,37.58,4,21,0,2023-01-18 02:00:00
412,1987,497,31.13,2,24,0,2023-01-18 03:00:00
413,501,932,129.15,7,29,0,2023-01-18 04:00:00
414,14314,437,11.93,4,9,1,2023-01-18 05:00:00
415,10015,441,19.62,2,35,0,2023-01-18 06:00:00
416,12539,131,64.02,3,41,0,2023-01-18 07:00:00
417,9819,569,56.44,6,26,0,2023-01-18 08:00:00
418,17612,542,72.71,5,36,1,2023-01-18 09:00:00
419,2056,869,12.32,2,32,0,2023-01-18 10:00:00
420,2156,16,117.09,1,44,0,2023-01-18 11:00:00
421,14057,499,143.66,5,40,0,2023-01-18 12:00:00
422,10070,450,86.13,4,41,0,2023-01-18 13:00:00
423,15992,233,19.6,4,39,0,2023-01-18 14:00:00
424,11057,971,87.77,4,40,0,2023-01-18 15:00:00
425,2571,815,29.03,0,8,0,2023-01-18 16:00:00
426,9589,860,18.25,1,7,0,2023-01-18 17:00:00
427,7477,413,14.23,3,4,0,2023-01-18 18:00:00
428,2970,667,12.42,2,36,0,2023-01-18 19:00:00
429,13491,685,102.36,2,29,0,2023-01-18 20:00:00
430,5724,70,102.6,3,49,1,2023-01-18 21:00:00
431,3590,358,11.69,5,36,0,2023-01-18 22:00:00
432,10084,703,72.87,5,40,0,2023-01-18 23:00:00
433,5132,530,24.66,1,22,0,2023-01-19 00:00:00
434,17658,40,22.6,3,6,1,2023-01-19 01:00:00
435,7545,837,51.28,4,19,0,2023-01-19 02:00:00
436,10438,138,40.62,5,30,1,2023-01-19 03:00:00
437,3711,86,20.48,1,49,0,2023-01-19 04:00:00
438,13760,745,10.28,4,42,0,2023-01-19 05:00:00
439,2941,280,29.47,1,21,0,2023-01-19 06:00:00
440,421,569,36.0,5,39,0,2023-01-19 07:00:00
441,3080,7,42.24,3,17,0,2023-01-19 08:00:00
442,14501,481,36.23,7,17,1,2023-01-19 09:00:00
443,2420,140,33.93,3,18,0,2023-01-19 10:00:00
444,18665,721,175.25,2,34,0,2023-01-19 11:00:00
445,18719,868,136.25,6,22,0,2023-01-19 12:00:00
446,1419,572,34.81,3,4,0,2023-01-19 13:00:00
447,13732,354,151.84,4,25,0,2023-01-19 14:00:00
448,4548,185,14.56,6,26,0,2023-01-19 15:00:00
449,6801,660,10.64,2,8,0,2023-01-19 16:00:00
450,2042,181,30.09,2,37,0,2023-01-19 17:00:00
451,13584,562,20.25,4,5,0,2023-01-19 18:00:00
452,19953,527,70.94,2,41,0,2023-01-19 19:00:00
453,13253,201,59.21,4,36,0,2023-01-19 20:00:00
454,13800,912,193.41,7,36,1,2023-01-19 21:00:00
455,372,72,80.1,3,20,0,2023-01-19 22:00:00
456,10789,958,35.11,3,29,0,2023-01-19 23:00:00
457,9195,727,25.66,3,48,0,2023-01-20 00:00:00
458,7578,647,12.8,3,50,1,2023-01-20 01:00:00
459,18908,320,25.34,3,44,0,2023-01-20 02:00:00
460,14940,220,20.06,4,44,0,2023-01-20 03:00:00
461,5651,95,101.34,5,27,0,2023-01-20 04:00:00
462,14948,616,29.72,3,38,1,2023-01-20 05:00:00
463,1419,63,67.55,0,15,0,2023-01-20 06:00:00
464,12869,970,62.19,1,38,0,2023-01-20 07:00:00
